listing_id,price_range,price,neighbourhood
288410,Luxury,0.0007949294224052645,Westminster
288828,Mid-Range,0.0,Brent
288857,Luxury,0.0,Southwark
290233,Superior,0.0,Newham
290923,Luxury,0.0,Camden
294177,Budget,0.0,Barnet
294315,Budget,0.0,Barnet
298246,High-End,0.0,Lambeth
299374,Budget,0.23342494835074762,Brent
299735,Mid-Range,0.11037628550869752,Haringey
300723,High-End,0.0,Haringey
302527,Mid-Range,0.0,Haringey
302718,Luxury,0.0,Southwark
302760,Mid-Range,0.0,Lewisham
303347,Luxury,0.0867293382323618,Westminster
304976,Luxury,0.0,Waltham Forest
306677,High-End,0.04864282629362398,Southwark
306737,Luxury,0.0,Camden
306966,Budget,0.1156065821287073,Westminster
308005,High-End,0.02600136415956116,Westminster
308640,High-End,0.0,Hackney
309346,Budget,0.0,Southwark
310724,Luxury,0.07645958587073245,Lambeth
311768,Superior,0.10542103816945689,Merton
312557,Mid-Range,0.0,Camden
312761,High-End,0.014911699336931561,Hackney
313694,Budget,0.0,Tower Hamlets
313710,Budget,0.0,Brent
314164,Mid-Range,0.0,Hackney
315238,High-End,0.0,Wandsworth
318867,High-End,0.0,Westminster
318986,Luxury,0.0,Kensington and Chelsea
323203,Budget,0.0,Redbridge
323473,Mid-Range,0.0,Islington
323571,Budget,0.0,Hackney
325809,Superior,0.0,Camden
326314,High-End,0.0,Lambeth
327743,High-End,0.0,Wandsworth
329585,High-End,0.0,Lambeth
330932,Mid-Range,0.0,Islington
335867,Luxury,0.0,Newham
337806,Budget,0.030900306717343784,Hackney
338198,Budget,0.0,Barnet
342804,High-End,0.0,Hounslow
343149,High-End,0.0,Westminster
345013,High-End,0.046811572644026696,Southwark
345039,Luxury,0.0,Brent
345321,Luxury,0.0,Newham
345877,Budget,0.0,Islington
346523,Mid-Range,0.0,Kensington and Chelsea
347849,High-End,0.0702690330731383,Lambeth
348217,Luxury,0.10749400954287226,Camden
348549,High-End,0.0,Tower Hamlets
350011,Mid-Range,0.07978243363837186,Islington
350297,Budget,0.0,Tower Hamlets
350442,Luxury,0.0,Haringey
350524,High-End,0.0,Hackney
354003,High-End,0.0,Kensington and Chelsea
356027,High-End,0.0,Greenwich
356427,Luxury,0.0,Brent
357036,Mid-Range,0.0,Brent
357197,Budget,0.0,Hackney
358043,High-End,0.057137652919675194,Tower Hamlets
358141,High-End,0.0,Tower Hamlets
359619,High-End,0.048260542465791506,Tower Hamlets
359974,Mid-Range,0.0,Hackney
361549,Mid-Range,0.008343447343168725,Southwark
364017,High-End,0.07020202108801715,Croydon
365933,Mid-Range,0.0,Lambeth
366450,Budget,0.0,Islington
367175,Budget,0.0,Redbridge
367181,High-End,0.0,Hackney
367977,Budget,0.055259643186469976,Hammersmith and Fulham
369383,High-End,0.1232727427714956,Camden
371150,Mid-Range,0.0,Newham
374493,Mid-Range,0.0,Tower Hamlets
374594,High-End,0.028909608203758038,Wandsworth
374624,Mid-Range,0.0,Hackney
375799,Budget,0.0,Kingston upon Thames
377982,High-End,0.0,Westminster
378407,Mid-Range,0.0,Wandsworth
378551,Mid-Range,0.04391268208219755,Hounslow
379060,Budget,0.0018640411934570228,Hammersmith and Fulham
379137,High-End,0.0,Hackney
380188,High-End,0.10996945597313297,Richmond upon Thames
381467,High-End,0.003575801103647678,Kensington and Chelsea
381741,Mid-Range,0.012133261611860489,Brent
381929,Budget,0.02372541694148922,Tower Hamlets
381930,Budget,0.0,Tower Hamlets
382627,Mid-Range,0.018286337174208373,Islington
384317,Mid-Range,0.0,Hackney
385019,Luxury,0.0,Hackney
386969,Luxury,0.08178117691327881,Hackney
388009,Luxury,0.03242868259612302,Brent
388315,Budget,0.0,Kensington and Chelsea
388768,High-End,0.10236476915693864,Camden
390041,High-End,0.0,Hackney
390156,Budget,0.0,Tower Hamlets
391910,High-End,0.0,Haringey
393371,Budget,0.0,Barnet
394755,Budget,0.0,Camden
395062,Budget,0.08398871078815812,Ealing
398147,High-End,0.018619122986327726,Islington
400873,Luxury,0.0,Newham
401951,Superior,0.0,Tower Hamlets
401972,Luxury,0.031615295668374226,Kensington and Chelsea
403038,High-End,0.0,Kensington and Chelsea
403390,Mid-Range,0.0,Tower Hamlets
405099,Budget,0.0,Bromley
406235,Budget,0.017756289576446496,Hackney
406752,Budget,0.0,Camden
406753,Budget,0.05667381865731471,Camden
406832,Mid-Range,0.0,Hammersmith and Fulham
406898,Budget,0.0,Tower Hamlets
407475,Budget,0.0,Merton
407529,Budget,0.04129274657557225,Ealing
409444,Budget,0.0,Hackney
410201,Budget,0.0,Merton
411961,Budget,0.09936926394968176,Islington
412058,Luxury,0.0,Hackney
412059,Luxury,0.0,Hackney
413167,Luxury,0.0,Hackney
414115,Mid-Range,0.0,Newham
415825,Mid-Range,0.0,Islington
415926,Mid-Range,0.054032350423470446,Westminster
416238,Luxury,0.1166601672677994,Camden
417204,High-End,0.047442703351024795,Islington
417297,Luxury,0.06165829698883654,Tower Hamlets
417549,High-End,0.009341309184131381,Camden
418043,Mid-Range,0.022263309753225997,Haringey
418750,High-End,0.0,Kensington and Chelsea
419578,Mid-Range,0.0,Wandsworth
419786,Luxury,0.0,Greenwich
420605,High-End,0.0,Wandsworth
421142,Budget,0.0,Hammersmith and Fulham
422308,Budget,0.0,Hackney
422554,High-End,0.0,Southwark
423771,High-End,0.0,Tower Hamlets
424511,High-End,0.0,Newham
425143,Mid-Range,0.059286423163881365,Wandsworth
426351,High-End,0.0,Brent
427080,Budget,0.0,Lambeth
427325,High-End,0.0,Islington
427327,High-End,0.0,Hackney
427348,Mid-Range,0.0,Lambeth
427584,Mid-Range,0.0,Hackney
428432,Luxury,0.0,Newham
429045,Superior,0.0,Lewisham
429444,Mid-Range,0.0,Lambeth
431585,High-End,0.17823763154423639,Tower Hamlets
431775,Mid-Range,0.0,Islington
432244,Mid-Range,0.03834618810676205,Hackney
432314,Luxury,0.0,Wandsworth
432440,Budget,0.0,Kensington and Chelsea
432567,Budget,0.0,Redbridge
432986,High-End,0.0,Kensington and Chelsea
433191,Budget,0.02299439357894257,Redbridge
434962,High-End,0.038749172118317916,Westminster
435568,High-End,0.0,Islington
438531,High-End,0.020597478271946173,Westminster
438577,Mid-Range,0.0,Camden
439360,High-End,0.0,Newham
441525,Mid-Range,0.0,Islington
442424,High-End,0.021281703696325812,Lambeth
443263,Mid-Range,0.0,Hackney
443643,Luxury,0.0,Camden
444886,Budget,0.0,Islington
444924,Budget,0.0,Lewisham
444981,High-End,0.0,Waltham Forest
445772,Superior,0.0,Brent
446634,Mid-Range,0.005977761346699299,Hackney
447223,Mid-Range,0.0,Havering
448867,Mid-Range,0.0,Merton
450460,Budget,0.07807958181841063,Hackney
450481,Luxury,0.0,Southwark
452322,Budget,0.0017450917326239383,Tower Hamlets
452350,Mid-Range,0.0,Hackney
452552,Luxury,0.0,Brent
452781,High-End,0.09092822504767976,Hammersmith and Fulham
453132,Budget,0.0,Tower Hamlets
454047,High-End,0.0,Hackney
454496,High-End,0.0,Tower Hamlets
455450,Mid-Range,0.023417831234236946,Tower Hamlets
457392,Budget,0.1348756684251315,Islington
458015,Mid-Range,0.0,Camden
458605,High-End,0.0,Camden
458614,Luxury,0.0,Westminster
458630,High-End,0.0,Ealing
459004,Mid-Range,0.04434389264932451,Wandsworth
459237,Mid-Range,0.0,Hackney
459400,Luxury,0.0,Camden
460379,High-End,0.0,Barnet
461039,Mid-Range,0.0,Haringey
461248,Budget,0.0,Hammersmith and Fulham
461923,Budget,0.058213117047537885,Greenwich
461987,Mid-Range,0.0,Hackney
463556,Luxury,0.0,Tower Hamlets
463665,High-End,0.0,Redbridge
464370,Luxury,0.08006205234514535,Wandsworth
464789,Budget,0.0,Hackney
465498,Mid-Range,0.0,Hackney
465515,High-End,0.0,Islington
465821,Mid-Range,0.0,Newham
466058,Mid-Range,0.0,Hammersmith and Fulham
466934,High-End,0.0,Tower Hamlets
468033,High-End,0.0,Westminster
468221,High-End,0.0,Southwark
469125,Budget,0.0,Hackney
469198,High-End,0.0,Tower Hamlets
469199,Mid-Range,0.0,Hackney
470153,Budget,0.0,Islington
470205,High-End,0.0,Merton
470503,Mid-Range,0.0,Hackney
472083,Luxury,0.0,Islington
473145,Luxury,0.0,Southwark
473637,Superior,0.0,Kensington and Chelsea
476318,High-End,0.03399532354453273,Wandsworth
476659,Mid-Range,0.003963709411036369,Southwark
476808,Luxury,0.0,Kensington and Chelsea
477286,Luxury,0.09175534161649924,Brent
478034,Budget,0.0,Tower Hamlets
478135,Budget,0.0,Tower Hamlets
478351,Budget,0.0,Tower Hamlets
478506,Budget,0.0,Tower Hamlets
478975,Mid-Range,0.02689720662584036,Westminster
478975,High-End,0.01868256593238608,Westminster
479546,High-End,0.0,Hammersmith and Fulham
482178,High-End,0.0,City of London
482685,Luxury,0.0,Camden
484978,Luxury,0.013437272023084972,Hammersmith and Fulham
486032,Luxury,0.0,Hackney
486501,Budget,0.0,Brent
486627,Mid-Range,0.0,Islington
487934,High-End,0.0,Tower Hamlets
491583,Budget,0.0,Islington
492883,High-End,0.0,Southwark
492946,High-End,0.0744310694140842,Westminster
493679,High-End,0.0,Tower Hamlets
494343,Mid-Range,0.021554879736240803,Lambeth
495153,Mid-Range,0.02944947307399676,Lambeth
495964,Mid-Range,0.08546846879840146,Tower Hamlets
497373,High-End,0.0,Southwark
498610,High-End,0.0,Islington
498888,High-End,0.0,Tower Hamlets
499145,Mid-Range,0.0,Tower Hamlets
499555,Budget,0.0,Southwark
