listing_id,price_segment,mean_price,neighbourhood,most_frequent_segment
276788,Budget,89.0,Tower Hamlets,Budget
276888,High-End,145.97014925373134,Merton,
277580,Mid-Range,125.0,Hounslow,
278559,Budget,89.0,Westminster,
279022,Superior,950.0,Westminster,
280894,High-End,149.0,Southwark,
282198,Mid-Range,124.0,Camden,
283569,Mid-Range,95.73507462686567,Ealing,
284423,Budget,89.0,Hackney,
284532,Budget,80.0,Hackney,
284603,Luxury,210.0,Westminster,
286675,Budget,50.0,Harrow,
288410,Luxury,250.0410447761194,Westminster,
288828,Mid-Range,102.0,Brent,
288857,Luxury,275.0,Southwark,
290233,Superior,572.0,Newham,
290923,Luxury,275.0,Camden,
294177,Budget,50.0,Barnet,
294315,Budget,70.0,Barnet,
298246,High-End,135.0,Lambeth,
299374,Budget,53.325842696629216,Brent,Budget
299735,Mid-Range,106.3731343283582,Haringey,
300723,High-End,190.0,Haringey,High-End
302527,Mid-Range,125.0,Haringey,
302718,Luxury,200.0,Southwark,
302760,Mid-Range,100.0,Lewisham,
303347,Luxury,269.7142857142857,Westminster,Luxury
304976,Luxury,200.0,Waltham Forest,
306677,High-End,139.2537313432836,Southwark,
306737,Luxury,325.0,Camden,Luxury
306966,Budget,82.91044776119404,Westminster,
308005,High-End,181.6679104477612,Westminster,
308640,High-End,145.0,Hackney,
309346,Budget,85.0,Southwark,
310724,Luxury,256.32462686567163,Lambeth,
311768,Superior,428.35820895522386,Merton,
312557,Mid-Range,100.0,Camden,
312761,High-End,151.4179104477612,Hackney,
313694,Budget,85.0,Tower Hamlets,
313710,Budget,80.0,Brent,Budget
314164,Mid-Range,97.0,Hackney,
315238,High-End,160.0,Wandsworth,
318867,High-End,140.0,Westminster,
318986,Luxury,200.0,Kensington and Chelsea,
323203,Budget,75.0,Redbridge,
323473,Mid-Range,99.0,Islington,
323571,Budget,75.0,Hackney,
325809,Superior,776.0,Camden,
326314,High-End,140.0,Lambeth,
327743,High-End,150.0,Wandsworth,
329585,High-End,148.0,Lambeth,
330932,Mid-Range,99.0,Islington,Mid-Range
335867,Luxury,200.0,Newham,
337806,Budget,63.71268656716418,Hackney,
338198,Budget,90.0,Barnet,Budget
342804,High-End,160.0,Hounslow,
343149,High-End,165.0,Westminster,
345013,High-End,128.81730769230768,Southwark,High-End
345039,Luxury,235.0,Brent,
345321,Luxury,300.0,Newham,
345877,Budget,80.0,Islington,
346523,Mid-Range,99.0,Kensington and Chelsea,
347849,High-End,134.955223880597,Lambeth,
348217,Luxury,302.42537313432837,Camden,
348549,High-End,159.0,Tower Hamlets,
350011,Mid-Range,103.8955223880597,Islington,
350297,Budget,65.0,Tower Hamlets,
350442,Luxury,240.0,Haringey,
350524,High-End,160.0,Hackney,
354003,High-End,150.0,Kensington and Chelsea,High-End
356027,High-End,140.0,Greenwich,
356427,Luxury,250.0,Brent,
357036,Mid-Range,99.0,Brent,
357197,Budget,55.0,Hackney,
358043,High-End,153.50378787878788,Tower Hamlets,High-End
358141,High-End,196.0,Tower Hamlets,
359619,High-End,132.48790322580646,Tower Hamlets,High-End
359974,Mid-Range,120.0,Hackney,
361549,Mid-Range,112.53225806451613,Southwark,Mid-Range
364017,High-End,161.78731343283582,Croydon,
365933,Mid-Range,95.0,Lambeth,
366450,Budget,67.0,Islington,
367175,Budget,75.0,Redbridge,
367181,High-End,150.0,Hackney,
367977,Budget,78.75,Hammersmith and Fulham,
369383,High-End,168.16751269035532,Camden,High-End
371150,Mid-Range,119.0,Newham,Mid-Range
374493,Mid-Range,100.0,Tower Hamlets,
374594,High-End,144.84274193548387,Wandsworth,High-End
374624,Mid-Range,101.0,Hackney,
375799,Budget,80.0,Kingston upon Thames,
377982,High-End,165.0,Westminster,
378407,Mid-Range,120.0,Wandsworth,
378551,Mid-Range,102.83582089552239,Hounslow,
379060,Budget,89.02822580645162,Hammersmith and Fulham,Budget
379137,High-End,150.0,Hackney,
380188,High-End,140.0634328358209,Richmond upon Thames,
381467,High-End,126.2834008097166,Kensington and Chelsea,High-End
381741,Mid-Range,124.4949494949495,Brent,Mid-Range
381929,Budget,76.13432835820896,Tower Hamlets,
381930,Budget,69.0,Tower Hamlets,
382627,Mid-Range,96.1231343283582,Islington,
384317,Mid-Range,95.0,Hackney,
385019,Luxury,310.0,Hackney,
386969,Luxury,218.66197183098592,Hackney,Luxury
388009,Luxury,237.87313432835822,Brent,
388315,Budget,85.0,Kensington and Chelsea,
388768,High-End,154.7248062015504,Camden,High-End
390041,High-End,175.0,Hackney,
390156,Budget,89.0,Tower Hamlets,Budget
391910,High-End,130.0,Haringey,
393371,Budget,75.0,Barnet,
394755,Budget,80.0,Camden,
395062,Budget,63.87686567164179,Ealing,
398147,High-End,150.97761194029852,Islington,
400873,Luxury,200.0,Newham,
401951,Superior,360.0,Tower Hamlets,
401972,Luxury,285.67164179104475,Kensington and Chelsea,
403038,High-End,195.0,Kensington and Chelsea,
403390,Mid-Range,110.0,Tower Hamlets,
405099,Budget,60.0,Bromley,
406235,Budget,89.23170731707317,Hackney,Budget
406752,Budget,85.0,Camden,
406753,Budget,88.65168539325843,Camden,Budget
406832,Mid-Range,98.0,Hammersmith and Fulham,
406898,Budget,70.0,Tower Hamlets,
407475,Budget,70.0,Merton,
407529,Budget,51.156716417910445,Ealing,
409444,Budget,70.0,Hackney,
410201,Budget,75.0,Merton,
411961,Budget,76.83582089552239,Islington,
412058,Luxury,350.0,Hackney,Luxury
412059,Luxury,350.0,Hackney,Luxury
413167,Luxury,250.0,Hackney,
414115,Mid-Range,105.0,Newham,
415825,Mid-Range,99.0,Islington,Mid-Range
415926,Mid-Range,100.36567164179104,Westminster,
416238,Luxury,217.3469387755102,Camden,Luxury
417204,High-End,158.2537313432836,Islington,
417297,Luxury,203.3582089552239,Tower Hamlets,
417549,High-End,160.5433962264151,Camden,High-End
418043,Mid-Range,101.41791044776119,Haringey,
418750,High-End,145.0,Kensington and Chelsea,
419578,Mid-Range,99.0,Wandsworth,
419786,Luxury,250.0,Greenwich,
420605,High-End,178.0,Wandsworth,
421142,Budget,79.0,Hammersmith and Fulham,
422308,Budget,50.0,Hackney,
422554,High-End,180.0,Southwark,
423771,High-End,140.0,Tower Hamlets,
424511,High-End,181.0,Newham,
425143,Mid-Range,114.25373134328358,Wandsworth,
426351,High-End,130.0,Brent,
427080,Budget,90.0,Lambeth,
427325,High-End,140.0,Islington,
427327,High-End,155.0,Hackney,
427348,Mid-Range,100.0,Lambeth,
427584,Mid-Range,120.0,Hackney,
428432,Luxury,200.0,Newham,
429045,Superior,1500.0,Lewisham,
429444,Mid-Range,103.0,Lambeth,
431585,High-End,152.01492537313433,Tower Hamlets,
431775,Mid-Range,115.0,Islington,
432244,Mid-Range,110.35742971887551,Hackney,Mid-Range
432314,Luxury,225.0,Wandsworth,
432440,Budget,70.0,Kensington and Chelsea,
432567,Budget,62.0,Redbridge,
432986,High-End,160.0,Kensington and Chelsea,
433191,Budget,67.48507462686567,Redbridge,
434962,High-End,186.46268656716418,Westminster,
435568,High-End,150.0,Islington,
438531,High-End,139.794776119403,Westminster,
438577,Mid-Range,120.0,Camden,
439360,High-End,129.0,Newham,High-End
441525,Mid-Range,97.0,Islington,
442424,High-End,134.4094827586207,Lambeth,High-End
443263,Mid-Range,119.0,Hackney,Mid-Range
443643,Luxury,295.0,Camden,
444886,Budget,80.0,Islington,
444924,Budget,40.0,Lewisham,
444981,High-End,178.0,Waltham Forest,
445772,Superior,399.0,Brent,
446634,Mid-Range,100.70564516129032,Hackney,Mid-Range
447223,Mid-Range,100.0,Havering,Mid-Range
448867,Mid-Range,95.0,Merton,Mid-Range
450460,Budget,57.83582089552239,Hackney,
450481,Luxury,199.0,Southwark,
452322,Budget,70.00746268656717,Tower Hamlets,
452350,Mid-Range,115.0,Hackney,
452552,Luxury,250.0,Brent,
452781,High-End,166.33955223880596,Hammersmith and Fulham,
453132,Budget,67.0,Tower Hamlets,
454047,High-End,149.0,Hackney,
454496,High-End,150.0,Tower Hamlets,
455450,Mid-Range,96.41791044776119,Tower Hamlets,
457392,Budget,61.84701492537314,Islington,
458015,Mid-Range,125.0,Camden,
458605,High-End,130.0,Camden,
458614,Luxury,299.0,Westminster,
458630,High-End,155.0,Ealing,
459004,Mid-Range,101.83582089552239,Wandsworth,
459237,Mid-Range,125.0,Hackney,
459400,Luxury,200.0,Camden,
460379,High-End,130.0,Barnet,
461039,Mid-Range,110.0,Haringey,
461248,Budget,50.0,Hammersmith and Fulham,
461923,Budget,80.7439024390244,Greenwich,Budget
461987,Mid-Range,125.0,Hackney,Mid-Range
