listing_id,price_segment,mean_price,neighbourhood,most_frequent_segment
15400,Budget,75.01339285714286,Kensington and Chelsea,Budget
17402,Luxury,307.2761194029851,Westminster,
36299,Luxury,195.0,Richmond upon Thames,
36986,Budget,80.0,Hackney,
38610,Luxury,212.1007462686567,Hammersmith and Fulham,
41445,High-End,167.82771535580525,Barnet,
43202,Mid-Range,100.0,Brent,
45168,High-End,125.0,Westminster,
46961,Budget,85.0,Kensington and Chelsea,Budget
47687,Budget,78.0,Hammersmith and Fulham,
51830,Mid-Range,120.0,Westminster,Mid-Range
55402,Budget,56.44981412639405,Croydon,
56229,Budget,50.07835820895522,Hammersmith and Fulham,
63864,Superior,349.0,Tower Hamlets,Superior
63948,Budget,48.73134328358209,Hammersmith and Fulham,
65638,Budget,79.17910447761194,Southwark,
67851,Budget,76.0,Hackney,
70482,Mid-Range,110.0,Hackney,
71875,High-End,148.0,Camden,
73431,Budget,52.0,Lambeth,
73884,Mid-Range,99.0,Hammersmith and Fulham,Mid-Range
75120,Superior,414.55223880597015,Hammersmith and Fulham,
76932,Luxury,200.0,Westminster,
79571,Mid-Range,99.0,Kensington and Chelsea,
80123,Mid-Range,100.0374531835206,Wandsworth,
80441,Mid-Range,95.0,Lambeth,
81052,High-End,133.0,Islington,
81211,Mid-Range,110.0,Camden,
81239,High-End,122.0,Hackney,High-End
81410,Luxury,242.25,Westminster,Luxury
81449,High-End,141.4179104477612,Tower Hamlets,
81951,Luxury,190.0,Havering,
83308,Mid-Range,120.0,Camden,
85406,High-End,152.24907063197026,Westminster,
86092,High-End,132.51020408163265,Hammersmith and Fulham,High-End
87514,Mid-Range,99.0,Camden,
89787,Budget,55.0,Hounslow,
89870,High-End,125.0,Islington,
90358,Luxury,286.87412587412587,Kensington and Chelsea,Luxury
90700,Budget,73.18656716417911,Kensington and Chelsea,
91031,Budget,78.45522388059702,Wandsworth,
91287,Mid-Range,100.0,Islington,Mid-Range
92352,Mid-Range,90.0,Islington,
92399,Budget,65.9182156133829,Islington,
93015,Budget,68.0,Hammersmith and Fulham,
93263,Budget,75.0,Merton,Budget
94138,Budget,75.0,Tower Hamlets,Mid-Range
94138,Mid-Range,88.29333333333334,Tower Hamlets,Mid-Range
98541,Budget,80.0,Haringey,
98750,Budget,74.0,Hammersmith and Fulham,
99333,Mid-Range,118.0,Islington,
102391,High-End,135.0,Hackney,
107048,Mid-Range,93.0,Islington,
107051,High-End,155.64285714285714,Westminster,High-End
109226,Superior,423.0,Islington,
109299,High-End,135.0,Hackney,
117203,Mid-Range,106.7723880597015,Hammersmith and Fulham,
123522,Mid-Range,99.0,Westminster,
127652,Mid-Range,120.0,Camden,
129768,High-End,135.0,Westminster,
131444,Mid-Range,90.0,Lambeth,
137581,High-End,130.0,Tower Hamlets,
137907,High-End,153.0,Camden,
139142,Budget,76.03731343283582,Islington,
142117,High-End,140.0,Hackney,
143028,High-End,137.8996282527881,Merton,
143568,Budget,76.24260355029585,Newham,Budget
152863,Mid-Range,99.0,Haringey,
154221,Budget,83.0,Westminster,
157227,Mid-Range,99.0,Hackney,
158939,Mid-Range,110.0,Lewisham,
165336,Budget,62.43122676579926,Kensington and Chelsea,
166760,Budget,45.647940074906366,Croydon,
168348,Mid-Range,110.00746268656717,Westminster,
168359,Mid-Range,111.0,Southwark,
168875,Mid-Range,90.0,Tower Hamlets,
170524,Superior,1300.0,Westminster,
171686,Mid-Range,90.0,Islington,
172807,Luxury,209.0,Westminster,
172811,Luxury,300.0,Camden,Luxury
174635,Mid-Range,105.0,Kensington and Chelsea,High-End
174635,High-End,122.86,Kensington and Chelsea,High-End
175892,Mid-Range,116.97391304347826,Hackney,Mid-Range
178519,High-End,150.0,Brent,
179312,Budget,53.36431226765799,Islington,
